Category,Detail,Cost,Date,Month_period,WeekofYear,DayofWeek,Day_of_Week_Category,Month
Student Loan,Student Loan,86.4,2022-11-10,Oct - Nov 22,45,3,Weekday,11
Transport,BVG,28.58,2022-11-01,Oct - Nov 22,44,1,Weekday,11
Rent + Bills,UK Phone,10.0,2022-11-13,Oct - Nov 22,45,6,Weekend,11
Rent + Bills,Legal Insurance,35.0,2022-11-01,Oct - Nov 22,44,1,Weekday,11
Eating Out,Lunch,6.0,2022-10-25,Oct - Nov 22,43,1,Weekday,10
Eating Out,Lunch,10.0,2022-10-26,Oct - Nov 22,43,2,Weekday,10
Transport,Train to airport ,3.8,2022-10-27,Oct - Nov 22,43,3,Weekday,10
Transport,Train to airport ,1.8,2022-10-30,Oct - Nov 22,43,6,Weekend,10
Transport,Train to potsdam,7.6,2022-11-02,Oct - Nov 22,44,2,Weekday,11
Eating Out,Lunch in Potsdam,14.25,2022-11-02,Oct - Nov 22,44,2,Weekday,11
Groceries,Supermarket,1.72,2022-11-02,Oct - Nov 22,44,2,Weekday,11
Eating Out,Bubble Tea Ido,5.1,2022-11-04,Oct - Nov 22,44,4,Weekday,11
Eating Out,"Drinks, Dinner, Comedy",42.8,2022-11-04,Oct - Nov 22,44,4,Weekday,11
Eating Out,Bunker tour Mom visit,28.0,2022-11-04,Oct - Nov 22,44,4,Weekday,11
Groceries,Groceries,23.59,2022-11-06,Oct - Nov 22,44,6,Weekend,11
Eating Out,Snack,1.0,2022-11-08,Oct - Nov 22,45,1,Weekday,11
Eating Out,Drinks with mom,10.0,2022-11-08,Oct - Nov 22,45,1,Weekday,11
Groceries,Groceries,21.08,2022-11-10,Oct - Nov 22,45,3,Weekday,11
Eating Out,Tacos and drinks,28.3,2022-11-11,Oct - Nov 22,45,4,Weekday,11
Groceries,Groceries,24.66,2022-11-12,Oct - Nov 22,45,5,Weekend,11
Eating Out,Cocktail,6.2,2022-11-15,Oct - Nov 22,46,1,Weekday,11
Groceries,Groceries,11.82,2022-11-17,Oct - Nov 22,46,3,Weekday,11
Groceries,Groceries,7.34,2022-11-18,Oct - Nov 22,46,4,Weekday,11
Rent + Bills,Tape,3.19,2022-11-18,Oct - Nov 22,46,4,Weekday,11
Rent + Bills,Car,25.0,2022-11-18,Oct - Nov 22,46,4,Weekday,11
Transport,Train airport,1.8,2022-11-20,Oct - Nov 22,46,6,Weekend,11
Eating Out,Sandwich,7.95,2022-11-21,Oct - Nov 22,47,0,Weekday,11
Transport,Train Tonya,8.0,2022-11-21,Oct - Nov 22,47,0,Weekday,11
Shopping,Wax,22.0,2022-11-22,Oct - Nov 22,47,1,Weekday,11
Healthcare,Pill,10.0,2022-11-22,Oct - Nov 22,47,1,Weekday,11
Groceries,Groceries,6.65,2022-11-22,Oct - Nov 22,47,1,Weekday,11
Transport,Metro,7.95,2022-11-22,Oct - Nov 22,47,1,Weekday,11
Groceries,Groceries,2.49,2022-11-23,Oct - Nov 22,47,2,Weekday,11
Eating Out,Andreu,23.85,2022-11-24,Oct - Nov 22,47,3,Weekday,11
Shopping,Books,5.0,2022-11-24,Oct - Nov 22,47,3,Weekday,11
Eating Out,Lunch,15.38,2022-11-25,Nov - Dec 22,47,4,Weekday,11
Rent + Bills,Phone,27.6,2022-11-12,Oct - Nov 22,45,5,Weekend,11
Rent + Bills,Google,1.88,2022-12-04,Nov - Dec 22,48,6,Weekend,12
Rent + Bills,Personal Liability Insurance,4.94,2022-12-01,Nov - Dec 22,48,3,Weekday,12
Student Loan,Student Loan,86.4,2022-12-10,Nov - Dec 22,49,5,Weekend,12
Transport,BVG,28.58,2022-12-01,Nov - Dec 22,48,3,Weekday,12
Rent + Bills,UK Phone,10.0,2022-12-13,Nov - Dec 22,50,1,Weekday,12
Rent + Bills,Legal Insurance,35.0,2022-12-01,Nov - Dec 22,48,3,Weekday,12
Shopping,Clothes,49.59,2022-11-25,Nov - Dec 22,47,4,Weekday,11
Groceries,Groceries,22.29,2022-11-26,Nov - Dec 22,47,5,Weekend,11
Groceries,Groceries,31.85,2022-11-26,Nov - Dec 22,47,5,Weekend,11
Transport,Metro BCN,7.95,2022-11-26,Nov - Dec 22,47,5,Weekend,11
Eating Out,McDs,5.5,2022-11-28,Nov - Dec 22,48,0,Weekday,11
Groceries,Groceries,23.05,2022-11-28,Nov - Dec 22,48,0,Weekday,11
Groceries,Groceries,39.01,2022-11-29,Nov - Dec 22,48,1,Weekday,11
Healthcare,Pill,49.97,2022-11-29,Nov - Dec 22,48,1,Weekday,11
Transport,Airport train,1.8,2022-11-30,Nov - Dec 22,48,2,Weekday,11
Groceries,Groceries,17.51,2022-12-03,Nov - Dec 22,48,5,Weekend,12
Eating Out,Comedy,10.0,2022-12-03,Nov - Dec 22,48,5,Weekend,12
Groceries,Groceries,48.6,2022-12-06,Nov - Dec 22,49,1,Weekday,12
Eating Out,Christmas market,10.0,2022-12-07,Nov - Dec 22,49,2,Weekday,12
Eating Out,Bubble tea and Indian,15.8,2022-12-08,Nov - Dec 22,49,3,Weekday,12
Eating Out,Coffee,2.8,2022-12-09,Nov - Dec 22,49,4,Weekday,12
Groceries,Groceries,12.52,2022-12-09,Nov - Dec 22,49,4,Weekday,12
